ཧ་ཅང་བཟང་།,ha txaq zaq
དྲན་པ།,den pa
སེལ་བ།,sEl wa
གཡར་གླ།,yaR wa
བསྐྱར་ཟློས་བྱེད་པ།,kyaR Coe djE pa
རེ་སྐུལ་བྱེད་པ།,re kul djE pa
གུས་ཞབས་བྱེད་པ།,gu jab djE pa
ལན་འདེབས་པ།,len Ceb pa
ངལ་གསོ།,qal so
བསྐྱར་འགོ་འཛུགས་པ།,kyaR go dzug pa
བསྐྱར་གསོ་བྱེད་པ།,kyaR so djE pa
སླར་མུ་མཐུད་པ།,laR mu cue pa
ཕྱིར་ལོག་པ།,txhiR log pa
ཕྱིར་འཁོར་བ།,txhiR khoR wa
བསྐྱར་དཀྲི་བ།,kyaR ti wa
སྐོར་བ།,koR wa
འདོད་པ་སྐོང་བ།,Coe pa koq wa
རབ་གནས་གནང་བ།,rab Ne Naq wa
སྐྱོབ་པ།,kyob pa
ལབ་པ།,lab pa
འཚོང་བ།,tshoq wa
གཏོང་བ།,Toq wa
སྒྲིག་པ།,dig pa
གྲིབ་མདངས་རྒྱག་པ།,dib dhaq gyag pa
བགོ་བཤའ་རྒྱག་པ།,go xa gyag pa
གཞས་གཏོང་བ།,je Toq wa
སྡོད་པ།,Coe pa
ལང་བ།,laq wa
འགོ་འཛུགས་པ།,go dzug pa
གནས་སྡོད་བྱེད་པ།,Ne Coe djE pa
གོམ་པ་སྤོ་བ།,gom pa po wa
བསམ་མནོ་གཏོང་བ།,sam No Toq wa
ཐབས་ཤེས་བྱེད་པ།,cab xE djE pa
སྒྱུར་བ།,gyuR wa
ཧ་གོ་བ།,ha go wa
དུས་བསྟུན་ཁ་གསབ་བྱེད་པ།,Cu Tun kha sab djE pa
བེད་སྤྱོད་པ།,bE txoe pa
བདེན་དཔང་བྱེད་པ།,Cen paq djE pa
འདར་འགུལ་རྒྱག་པ།,CaR kul gyag pa
སྒུག་པ།,gug pa
for,ཆེད་དུ་སྒུག་པ།,txhE Cu gug pa
གོམ་པ་རྒྱག་པ།,gom pa gyag pa
འཁྱམ་པ།,khyam pa
དགོས་པ།,goe pa
འཁྲུད་པ།,thu pa
ལྟ་བ།,Ta wa
དབང་ཆར་སྤྱོད་པ།,waq txaR toe pa
ལས་ཀ་བྱེད་པ།,le ka djE pa
འབྲི་བ།,di wa
ཨ་སྟོང་རྒྱག་པ།,aa toq gyag pa
ཐོན་སྐྱེད་འབབ་པ།,con kE bab pa
གྲུབ་འབྲས།,dub de
འབད་པ།,be pa
སྨན་བཅོས།,mMen txoe
བསྔོ་བ།,qo wa
ཚར་བ།,tsaR wa
སྟོན་ཐོག,Ton cog
སྒྲིལ་བ།,dil wa
དབྱིབས།,yib
འོད་འཕྲོ་བ།,hhoe tho wa
འཚོང་ཁང་།,tshoq khaq
ཉལ་བ།,nyal wa
དྲི་མ།,dima
སློབ་སྦྱོང་།,lob djoq
བྲོ་བ།,do wa
ཚོད་ལྟ།,tsoe Ta
སྡེབ་པ།,deb pa
རིམ་གྱིས་འབྱུང་བ།,rim gyi djuq wa
རུ་སྒྲིག་པ།,ru dig pa
བཟོ་སྐྲུན་བྱེད་པ།,zo tun djE pa
ལོངས་སུ་སྤྱོད་པ།,loq su tsoe pa
དཡུག་པ།,yuk pa
གཟུགས་བརྙན་འཆར་བ།,zug nyen txhaR wa
སྔུར་བ།,nguR wa
དགའ་རོགས། བུ,ga rog bu
དགའ་རོགས། བུ་མོ།,ga rog bu mo
ཁྱོ་ག།,kyo ga
ཆུང་མ།,txhuq ma
ཨ་མ།,aa ma
ཨ་ཕ།,aa pha
ཨ་མ་ལགས།,aa ma lag
པ་ལགས།,pa lag
ཨ་ནེ།,aa nE
རྩོམ་པ་པོ།,tsom pa po
ཕྲུ་གུ།,thu gu
རྒན་པ།,gen pa
ཅོ་ཅོ།,txo txo
ཕ་མ།,pha ma
བྱིས་པ།,dji pa
ཕ་མ་སྤུན་ཕྲུག,pha ma pun thug
ཚ་མོ།,tsa mo
ཚ་བོ།,tso wo
རྒན་པ།,gen pa
ཕོ།,pho
མོ།,mo
སྐྱེས་པ།,kE pa
སྐྱེས་མ།,kE ma
རླུང་།,luq
དུད་འགྲོ།,Cu do
གྲོག་མ།,dog ma
དཔུང་པ།,puq pa
དྲི་ཞིམ་པོ།,di jim po
གོ་ཐལ།,go cal
comet,སྐར་ཕྲན།,kaR then
རྡུལ་ཕྲན།,Cul then
མཚོ་ངོགས།,tso qog
མཆུ་ཏོ།,tshu To
དོམ།,Com
རྒྱ།,gya
གཅན་གཟན།,tsen zen
སྦྲང་བུ།,daq bu
ལྟོ་བ།,To wa
རླུང་།,luq
ཤོག་པ།,xog pa
མངལ།,qal
ལུམ་འབྲས།,lum de
བྱ།,dja
འཇག་མ་གི་ལི།,djag ma gi li
འབུ་སྐྱོགས་ལྟོ།,bu kyog To
སེམས།,sEm
རྣམ་ཤེས།,nam xE
གཟུགས་པོ།,zug po
བློ་ཁོག,lo khog
ཀླད་པ།,le pa
རུས་པ།,ru pa
ཁྲག,thag
འབུ་སྲིན།,bu sin
སྲིན་འབུ།,sin bu
ཕྱེ་མ་ལེབ།,txhE ma leb
སྤྱང་ཀི།,txaq ki
བསེར་བུ།,sER bu
ཞི་མི།,ji mi
སྦུབས་ཕྲན།,bub then
རྫས་སྦྱོར་གྱི།,dze djoR gi
བྲག་གཡང་།,dag yaq
སྤྲིན་པ།,tin pa
ཉེ་འདབས་ཀྱི་སྤྱང་ཀི།,nyE Cab ki txaq ki
ཕོ་རོག,pho rog
elk,ཤ་བ།,xa wa
བྱེ་ཐང་།,djE caq
བཙོག་པ།,tsog pa
གྲིབ་མ།,dib ma
ནག་ཁུང་།,nag khuq
སྐྱ་རེངས།,kya rEq
ཉིན།,nyin
ཉིན་དགུང་།,nyin guq
ཉིན་མོའི་རྨི་ལམ།,nyin moI mMi lam
ཁྱི།,khyi
ཕུག་རོན།,phug ron
སྲོད།,soe
hawk,བྱ་རྒོད།,dja goe
འུག་པ།,hhug pa
ཨམ་ཅོག,am txog
ས།,sa
སྒོ་ང་།,go qa
ས་བོན།,sa bon
ལྕོང་མོ།,txoq mo
རྩི་ཤིང་།,tsi xiq
ཤིང་སྡོང་།,xiq Coq
ཤིང་ཕྲན།,xiq then
ཆུ།,txhu
གཙང་ཆུ།,tsaq ma
གྲུ་མོ།,du mo
ལྟིག་གཞོག,Tig jog
ལག་ལེན་བསྟར་བ།,lag len TaR wa
མིག,mig
རྫི་མ།,dzi ma
སྡོད་རྩ།,Coe tsa
མཛུབ་མོ།,dzub mo
གདོང་པ།,Coq pa
season,ནམ་དུས།,nam Cue
རྐང་པ་དག,kaq pa dag
མེ།,mE
ཉ།,nya
མེ་རླབས།,mE lab
མེ་ཏོག,mE Tog
འཕུར་བ།,phuR wa
རྐང་པ།,kaq pa
ནགས་ཚལ།,nag tshal
ཤིང་ཏོག,xiq Tog
རླངས་གཟུགས།,laq zug
ཉ་སྐྱོགས།,nya kyoq
རྩྭ།,tsa
