𒀊𒌋,abu
𒈩𒄷,mixhu
𒈲𒀠𒐼,muxallimu
𒅂,nagbu
𒉡𒆳𒌅,nukurtu
𒃼𒉡,Karnu
𒋆𒈬,rigmu
𒊬𒊒𒊒,sarruru
𒋚𒃮,sihirtu
𒌝𒋗,umxu
𒌦𒉡𒌅,unnutu
𒌨𒉻𒌋,urpatu
𒌨𒁍,urpu
𒍨𒌅,ziKtu
𒉺𒅁𒆪,xapku
𒋃𒆰𒌋,xitKulu
𒀫𒄷,Xurhu
𒌓,Xiitu
𒈭𒁺,Tahdu
𒃮𒁺,Tuhdu
𒀌𒉡,agarinnu
𒀝𒄖,aggu
𒄠𒌨𒁷𒉡,amurdinnu
𒀭𒄷,anhu
𒀭𒆰𒇻,anKullu
𒅈𒌋𒌋𒉡,armannu
𒀜𒋾,atti
𒁄𒇻,ballu
𒉌𒇻,diglu
𒇉𒀜𒋾,equratti
𒃰𒌅,gattu
𒄤𒁁𒌋,gaXXiXu
𒄃𒋗,gilxu
𒄑𒍮,giXXu
𒇳𒍇𒌅,halpatu
𒋻𒋢,hassu
𒆟𒍮,herXu
𒌓𒆳𒌋,hissatu
𒄽𒁓,hubburu
𒄯𒋥𒌋,hurrudu
𒆕𒆧𒌋,kakkixu
𒁶𒍮,kimXu
𒆠𒆰𒌅,kizirtu
𒆳𒍦𒌅,kurXiptu
𒈦𒋳𒌋,maxtaku
𒁵𒄖,muqu
𒀮𒀠𒋻,nabalkutu
𒅘𒀠𒈜,naKallulu
𒈜𒀪𒁹𒌅,nar'amtu
𒉪𒈩𒌋,nirriTu
𒆸𒌅,Kiltu
𒋻𒊒,Kutru
𒊩𒁶𒌅,raggimtu
𒊓𒀪𒀪,sa''u
𒈨𒁍,sippu
𒋳𒉡,taKnu
𒆪𒌅,tukultu
𒌇𒉡,tuKnu
𒌦𒉡,unnu
𒈦𒁍,waxbu
𒆳𒁺,xaddu
𒈗𒌅,xarratu
𒈨𒂅,xipTu
𒋤𒈜𒌋,xudlupu
𒋩𒁍𒁍,xurbubu
𒇡𒇡𒌋,XarXaru
𒍦𒍠,Xipputu
𒄴𒍪,ahzu
𒀠𒆪,alku
𒀊𒆗𒇻,apkallu
𒀊𒊒,apru
𒅈𒃵𒀭𒉡,argamannu
𒅈𒌓𒄠,arhixam
𒊍𒌝𒀉𒌅,asumittu
𒁄𒌅,baltu
𒁁𒇻,baTlu
𒁍𒀭𒆠𒅁,buddudu
𒁓𒀠𒇻,burallu
𒆗𒌋𒌋,dannix
𒁯𒊒,darru
𒀸𒁍,dilpu
𒁲𒀪,di'u
𒌈𒈮𒌋,dummuKu
𒌋𒅗,eli
𒅁𒅖𒌅,epixtu
𒇹,erbe
𒀀𒇒,exer
𒆠𒅁𒌋,exxebu
𒃮𒀪,gab'u
𒃮𒋗,gapxu
𒄖𒋻𒋗,guhaxxu
𒄢𒄢𒇻,gulgullu
𒄢𒈜𒌋,gullubu
𒆸𒋗,habxu
𒄬𒅅𒌅,haliKtu
𒈛𒄷,huluhhu
𒈝𒂅,humTu
𒄯𒁺,hurdu
𒅅𒊒,igru
𒅅𒄒𒌋,ikkibu
𒅅𒆪,ikku
𒅅𒆗𒌋,ikribu
𒄑𒄣,isKu
𒄑𒆰𒌅,izzirtu
𒅖𒉺,ixaru
𒆏𒀜𒌅,kabattu
𒋼𒀀𒁍,karbu
𒋼𒀀𒉻𒌋,karpatu
𒋼𒀀𒋢,karsu
𒃰𒈬,katmu
𒈪𒉭𒆧𒌋,kikkixu
𒆰𒈝,kullumu
𒁺𒊒,kupru
𒆷,la
𒆗𒋗,labxu
𒌓𒀭𒉡,lahannu
𒆗𒉡,lapnu
𒅆𒌉𒌉𒉡,liginnu
𒀗𒋢,lilissu
𒅆𒅆𒁺,lillidu
𒈜𒌅,liptu
𒈤𒄯,mahhuru
𒌋𒌋𒄖,maqu
𒈥𒋻𒌋,marhaXu
𒌅,martu
𒈥𒂅,marTu
𒆳𒅎𒂗,matimeni
𒈦𒋻𒌋,maxTaru
𒈦𒀠𒇻,maXallu
𒈦𒇡𒌋,maXXaru
𒈤𒄑𒌅,mihiXtu
𒁁𒄥𒌅,mitgurtu
𒁁𒄯,mithuru
𒈬𒁄𒀖𒌋,muballiTu
𒌤𒀪𒀪𒊒,muma''eru
𒄷𒄭𒌋,mutu
𒈲𒂄𒌋,muxxulu
𒈲𒋗𒀪,muxxu'u
𒈛𒈛𒀜𒌋,nahnahatu
𒅘𒇻,naklu
𒀮𒋀𒌅,napxaxtu
𒅘𒂍,naKbiitu
𒊋𒍪,nibzu
𒌋𒌋𒊒,nixru
𒉡𒀪𒀪𒁺,nu''idu
𒁄𒄖,palgu
𒌓𒅅𒌅,pariktu
𒌓𒆪,parku
𒌓𒈬,parxumu
𒌓𒍮,parXu
𒌓𒀪,per'u
𒉈𒀝𒄣,pilaKKu
𒋝𒋺𒋾,piKtatti
𒌓𒀪𒌅,piri'tu
𒋗𒅖𒌅,Kadixtu
𒃲𒇺𒋢,Kallissu
𒄒𒊒,Kebru
𒆥𒌋𒌋,Kinnix
𒆥𒌋𒌋,Kinnix
𒆰𒈜,Kullulu
𒊐𒁍,rabbu
𒈛𒍮,rahXu
